,Player,Pos,Age,Tm,G,FG%,2P FG%,3P FG%
348,Chimezie Metu,PF,22,SAS,18,0.5710000000000001,0.6,0.0
349,Khris Middleton,SF,28,MIL,62,0.49700000000000005,0.546,0.415
350,C.J. Miles,SG,32,WAS,10,0.322,0.33299999999999996,0.314
351,Malcolm Miller,SF,26,TOR,28,0.414,0.5710000000000001,0.364
352,Patty Mills,PG,31,SAS,66,0.431,0.5329999999999999,0.382
353,Paul Millsap,PF,34,DEN,51,0.48200000000000004,0.5,0.435
354,Shake Milton,SG,23,PHI,40,0.484,0.535,0.43
355,Donovan Mitchell,SG,23,UTA,69,0.449,0.494,0.366
356,Adam Mokoka,SG,21,CHI,11,0.429,0.462,0.4
357,Malik Monk,SG,21,CHO,55,0.434,0.542,0.284
358,E'Twaun Moore,SG,30,NOP,56,0.426,0.456,0.377
359,Ja Morant,PG,20,MEM,67,0.47700000000000004,0.511,0.335
360,Juwan Morgan,PF,22,UTA,21,0.5770000000000001,0.667,0.375
361,Marcus Morris,SF-PF,30,TOT,62,0.43799999999999994,0.461,0.408
362,Marcus Morris,SF,30,NYK,43,0.442,0.444,0.439
363,Marcus Morris,PF,30,LAC,19,0.425,0.5329999999999999,0.31
364,Markieff Morris,PF,30,TOT,58,0.44299999999999995,0.5,0.386
365,Markieff Morris,PF,30,DET,44,0.45,0.5,0.397
366,Markieff Morris,PF,30,LAL,14,0.406,0.5,0.33299999999999996
367,Monte Morris,PG,24,DEN,73,0.45899999999999996,0.495,0.37799999999999995
368,Johnathan Motley,PF,24,LAC,13,0.733,0.7140000000000001,1.0
369,Emmanuel Mudiay,PG,23,UTA,54,0.462,0.504,0.345
370,Dejounte Murray,PG,23,SAS,66,0.462,0.48100000000000004,0.369
371,Jamal Murray,PG,22,DEN,59,0.456,0.519,0.34600000000000003
372,Džanan Musa,SF,20,BRK,40,0.37200000000000005,0.479,0.244
373,Mike Muscala,C,28,OKC,47,0.40700000000000003,0.5,0.37799999999999995
374,Sviatoslav Mykhailiuk,SF,22,DET,56,0.41,0.425,0.40399999999999997
375,Abdel Nader,SF,26,OKC,55,0.46799999999999997,0.556,0.375
376,Larry Nance Jr.,C,27,CLE,56,0.531,0.636,0.35200000000000004
377,Shabazz Napier,PG,28,TOT,56,0.41200000000000003,0.519,0.317
378,Shabazz Napier,PG,28,MIN,36,0.40299999999999997,0.54,0.29600000000000004
379,Shabazz Napier,PG,28,WAS,20,0.428,0.489,0.358
380,Raul Neto,PG,27,PHI,54,0.455,0.5,0.386
381,Georges Niang,PF,26,UTA,66,0.43799999999999994,0.526,0.4
382,Nerlens Noel,C,25,OKC,61,0.684,0.688,0.33299999999999996
383,Jaylen Nowell,SG,20,MIN,15,0.358,0.593,0.115
384,Frank Ntilikina,PG,21,NYK,57,0.39299999999999996,0.444,0.321
385,Kendrick Nunn,SG,24,MIA,67,0.439,0.505,0.35
386,David Nwaba,SF,27,BRK,20,0.521,0.581,0.429
387,Royce O'Neale,PF,26,UTA,71,0.433,0.545,0.377
388,Kyle O'Quinn,C,29,PHI,29,0.494,0.603,0.259
389,Semi Ojeleye,PF,25,BOS,69,0.408,0.46399999999999997,0.37799999999999995
390,Jahlil Okafor,C,24,NOP,30,0.623,0.629,0.33299999999999996
391,Elie Okobo,PG,22,PHO,55,0.39799999999999996,0.42700000000000005,0.35200000000000004
392,Josh Okogie,SG,21,MIN,62,0.42700000000000005,0.529,0.266
393,Victor Oladipo,SG,27,IND,19,0.39399999999999996,0.451,0.317
394,Kelly Olynyk,C,28,MIA,67,0.462,0.5429999999999999,0.406
395,Miye Oni,SG,22,UTA,10,0.375,0.385,0.368
396,Cedi Osman,SF,24,CLE,65,0.43700000000000006,0.49700000000000005,0.38299999999999995
397,Kelly Oubre Jr.,SF,24,PHO,56,0.452,0.511,0.35200000000000004
398,Jabari Parker,PF,24,TOT,38,0.51,0.603,0.26899999999999996
399,Jabari Parker,PF,24,ATL,32,0.504,0.601,0.27
400,Eric Paschall,PF,23,GSW,60,0.49700000000000005,0.55,0.287
401,Anžejs Pasečņiks,C,24,WAS,27,0.526,0.54,0.0
402,Patrick Patterson,PF,30,LAC,59,0.408,0.45899999999999996,0.39
403,Chris Paul,PG,34,OKC,70,0.489,0.5539999999999999,0.365
404,Elfrid Payton,PG,25,NYK,45,0.439,0.48200000000000004,0.203
405,Gary Payton II,PG,27,WAS,29,0.414,0.5,0.28300000000000003
406,Norvel Pelle,C,26,PHI,24,0.521,0.532,0.0
407,Theo Pinson,SG,24,BRK,33,0.29,0.4,0.188
408,Mason Plumlee,C,29,DEN,61,0.615,0.625,0.0
409,Vincent Poirier,C,26,BOS,22,0.47200000000000003,0.47100000000000003,0.5
410,Jordan Poole,SG,20,GSW,57,0.33299999999999996,0.392,0.27899999999999997
411,Kevin Porter Jr.,SF,19,CLE,50,0.442,0.506,0.335
412,Michael Porter Jr.,PF,21,DEN,55,0.509,0.564,0.42200000000000004
413,Otto Porter,SF,26,CHI,14,0.44299999999999995,0.48700000000000004,0.387
414,Bobby Portis,C,24,NYK,66,0.45,0.493,0.358
415,Kristaps Porziņģis,PF,24,DAL,57,0.42700000000000005,0.484,0.35200000000000004
416,Dwight Powell,C,28,DAL,40,0.638,0.716,0.256
417,Norman Powell,SG,26,TOR,52,0.495,0.575,0.39899999999999997
418,Julius Randle,PF,25,NYK,64,0.46,0.515,0.27699999999999997
419,Cam Reddish,SF,20,ATL,58,0.384,0.428,0.332
420,J.J. Redick,SG,35,NOP,60,0.45299999999999996,0.45299999999999996,0.45299999999999996
421,Naz Reid,C,20,MIN,30,0.41200000000000003,0.466,0.33
422,Josh Richardson,SG,26,PHI,55,0.43,0.486,0.341
423,Austin Rivers,SG,27,HOU,68,0.42100000000000004,0.498,0.35600000000000004
424,Duncan Robinson,SF,25,MIA,73,0.47,0.654,0.446
425,Glenn Robinson III,SF,26,TOT,62,0.486,0.534,0.391
426,Glenn Robinson III,SF,26,GSW,48,0.48100000000000004,0.522,0.4
427,Glenn Robinson III,SF,26,PHI,14,0.518,0.603,0.33299999999999996
428,Jerome Robinson,SG,22,TOT,63,0.371,0.42,0.32
429,Jerome Robinson,SG,22,LAC,42,0.33799999999999997,0.391,0.284
430,Jerome Robinson,SG,22,WAS,21,0.397,0.44299999999999995,0.349
431,Rajon Rondo,PG,33,LAL,48,0.418,0.473,0.32799999999999996
432,Derrick Rose,PG,31,DET,50,0.49,0.535,0.306
433,Terrence Ross,SG,28,ORL,69,0.40299999999999997,0.48,0.35100000000000003
434,Terry Rozier,PG,25,CHO,63,0.423,0.436,0.40700000000000003
